pairing_id,flight_id,leg_position
P00155,F020,1
P00156,F020,1
P00157,F020,1
P00158,F020,1
P00159,F020,1
P00160,F020,1
P00161,F021,1
P00162,F021,1
P00163,F021,1
P00164,F021,1
P00165,F021,1
P00166,F021,1
P00167,F021,1
P00168,F021,1
P00169,F022,1
P00170,F022,1
P00171,F022,1
P00172,F022,1
P00173,F022,1
P00174,F022,1
P00175,F022,1
P00176,F022,1
P00177,F023,1
P00178,F023,1
P00179,F023,1
P00180,F023,1
P00181,F023,1
P00182,F023,1
P00183,F023,1
P00184,F023,1
P00185,F024,1
P00186,F024,1
P00187,F024,1
P00188,F024,1
P00189,F024,1
P00190,F024,1
P00191,F024,1
P00192,F024,1
P00193,F025,1
P00194,F025,1
P00195,F025,1
P00196,F025,1
P00197,F025,1
P00198,F025,1
P00199,F025,1
P00200,F025,1
P00201,F026,1
P00202,F026,1
P00203,F026,1
P00204,F026,1
P00205,F026,1
P00206,F026,1
P00207,F026,1
P00208,F026,1
P00209,F027,1
P00210,F027,1
P00211,F027,1
P00212,F027,1
P00213,F027,1
P00214,F027,1
P00215,F027,1
P00216,F027,1
P00217,F028,1
P00218,F028,1
P00219,F028,1
P00220,F028,1
P00221,F028,1
P00222,F028,1
P00223,F028,1
P00224,F028,1
P00225,F029,1
P00226,F029,1
P00227,F029,1
P00228,F029,1
P00229,F029,1
P00230,F029,1
P00231,F029,1
P00232,F029,1
P00233,F030,1
P00234,F030,1
P00235,F030,1
P00236,F030,1
P00237,F030,1
P00238,F030,1
P00239,F030,1
P00240,F030,1
P00241,F031,1
P00242,F031,1
P00243,F031,1
P00244,F031,1
P00245,F031,1
P00246,F031,1
P00247,F031,1
P00248,F031,1
P00249,F032,1
P00250,F032,1
P00251,F032,1
P00252,F032,1
P00253,F032,1
P00254,F032,1
P00255,F032,1
P00256,F032,1
P00257,F033,1
P00258,F033,1
P00259,F033,1
P00260,F033,1
P00261,F033,1
P00262,F033,1
P00263,F033,1
P00264,F033,1
P00265,F034,1
P00266,F034,1
P00267,F034,1
P00268,F034,1
P00269,F034,1
P00270,F034,1
P00271,F034,1
P00272,F034,1
P00273,F035,1
P00274,F035,1
P00275,F035,1
P00276,F035,1
P00277,F035,1
P00278,F035,1
P00279,F035,1
P00280,F035,1
P00281,F036,1
P00282,F036,1
P00283,F036,1
P00284,F036,1
P00285,F036,1
P00286,F036,1
P00287,F036,1
P00288,F036,1
P00289,F037,1
P00290,F037,1
P00291,F037,1
P00292,F037,1
P00293,F037,1
P00294,F037,1
P00295,F037,1
P00296,F037,1
P00297,F038,1
P00298,F038,1
P00299,F038,1
P00300,F038,1
P00301,F038,1
P00302,F038,1
P00303,F038,1
P00304,F038,1
P00305,F039,1
P00306,F039,1
P00307,F039,1
P00308,F039,1
P00309,F039,1
P00310,F039,1
P00311,F039,1
P00312,F039,1
P00313,F040,1
P00314,F040,1
P00315,F040,1
P00316,F040,1
P00317,F040,1
P00318,F040,1
P00319,F040,1
P00320,F040,1
P00321,F041,1
P00322,F041,1
P00323,F041,1
P00324,F041,1
P00325,F041,1
P00326,F041,1
P00327,F041,1
P00328,F041,1
P00329,F042,1
P00330,F042,1
P00331,F042,1
P00332,F042,1
P00333,F042,1
P00334,F042,1
P00335,F042,1
P00336,F042,1
P00337,F043,1
P00338,F043,1
P00339,F043,1
P00340,F043,1
P00341,F043,1
P00342,F043,1
P00343,F043,1
P00344,F043,1
P00345,F044,1
P00346,F044,1
P00347,F044,1
P00348,F044,1
P00349,F044,1
P00350,F044,1
P00351,F044,1
P00352,F044,1
P00353,F045,1
P00354,F045,1
P00355,F045,1
P00356,F045,1
P00357,F045,1
P00358,F045,1
P00359,F045,1
P00360,F045,1
P00361,F046,1
P00362,F046,1
P00363,F046,1
P00364,F046,1
P00365,F046,1
P00366,F046,1
P00367,F046,1
P00368,F046,1
P00369,F047,1
P00370,F047,1
P00371,F047,1
P00372,F047,1
P00373,F047,1
P00374,F047,1
P00375,F047,1
P00376,F047,1
P00377,F048,1
P00378,F048,1
P00379,F048,1
P00380,F048,1
P00381,F048,1
P00382,F048,1
P00383,F048,1
P00384,F048,1
P00385,F049,1
P00386,F049,1
P00387,F049,1
P00388,F049,1
P00389,F049,1
P00390,F049,1
P00391,F049,1
P00392,F049,1
P00393,F050,1
P00394,F050,1
P00395,F050,1
P00396,F050,1
P00397,F050,1
P00398,F050,1
P00399,F050,1
P00400,F050,1
P00401,F051,1
P00402,F051,1
P00403,F051,1
P00404,F051,1
P00405,F051,1
P00406,F051,1
P00407,F051,1
P00408,F051,1
P00409,F052,1
P00410,F052,1
P00411,F052,1
P00412,F052,1
P00413,F052,1
P00414,F052,1
P00415,F052,1
P00416,F052,1
P00417,F053,1
P00418,F053,1
P00419,F053,1
P00420,F053,1
P00421,F053,1
P00422,F053,1
P00423,F053,1
P00424,F053,1
P00425,F054,1
P00426,F054,1
P00427,F054,1
P00428,F054,1
P00429,F054,1
P00430,F054,1
P00431,F054,1
P00432,F054,1
P00433,F055,1
P00434,F055,1
P00435,F055,1
P00436,F055,1
P00437,F055,1
P00438,F055,1
P00439,F055,1
P00440,F055,1
P00441,F056,1
P00442,F056,1
P00443,F056,1
P00444,F056,1
P00445,F056,1
P00446,F056,1
P00447,F056,1
P00448,F056,1
P00449,F057,1
P00450,F057,1
P00451,F057,1
P00452,F057,1
P00453,F057,1
P00454,F057,1
P00455,F057,1
P00456,F057,1
P00457,F058,1
P00458,F058,1
P00459,F058,1
P00460,F058,1
P00461,F058,1
P00462,F058,1
P00463,F058,1
P00464,F058,1
P00465,F059,1
P00466,F059,1
P00467,F059,1
P00468,F059,1
P00469,F059,1
P00470,F059,1
P00471,F059,1
P00472,F059,1
P00473,F060,1
P00474,F060,1
P00475,F060,1
P00476,F060,1
P00477,F060,1
P00478,F060,1
P00479,F060,1
P00480,F060,1
P00481,F061,1
P00482,F061,1
P00483,F061,1
P00484,F061,1
P00485,F061,1
P00486,F061,1
P00487,F061,1
P00488,F061,1
P00489,F062,1
P00490,F062,1
P00491,F062,1
P00492,F062,1
P00493,F062,1
P00494,F062,1
P00495,F062,1
P00496,F062,1
P00497,F063,1
P00498,F063,1
P00499,F063,1
P00500,F063,1
P00501,F063,1
P00502,F063,1
P00503,F063,1
P00504,F063,1
P00505,F064,1
P00506,F064,1
P00507,F064,1
P00508,F064,1
P00509,F064,1
P00510,F064,1
P00511,F064,1
P00512,F064,1
P00513,F065,1
P00514,F065,1
P00515,F065,1
P00516,F065,1
P00517,F065,1
P00518,F065,1
P00519,F065,1
P00520,F065,1
P00521,F066,1
P00522,F066,1
P00523,F066,1
P00524,F066,1
P00525,F066,1
P00526,F066,1
P00527,F066,1
P00528,F066,1
P00529,F067,1
P00530,F067,1
P00531,F067,1
P00532,F067,1
P00533,F067,1
P00534,F067,1
P00535,F067,1
P00536,F067,1
P00537,F068,1
P00538,F068,1
P00539,F068,1
P00540,F068,1
P00541,F068,1
P00542,F068,1
P00543,F068,1
P00544,F068,1
P00545,F069,1
P00546,F069,1
P00547,F069,1
P00548,F069,1
P00549,F069,1
P00550,F069,1
P00551,F069,1
P00552,F069,1
P00553,F070,1
P00554,F070,1
P00555,F070,1
P00556,F070,1
P00557,F070,1
P00558,F070,1
P00559,F070,1
P00560,F070,1
P00561,F071,1
P00562,F071,1
P00563,F071,1
P00564,F071,1
P00565,F071,1
P00566,F071,1
P00567,F071,1
P00568,F071,1
P00569,F072,1
P00570,F072,1
P00571,F072,1
P00572,F072,1
P00573,F072,1
P00574,F072,1
P00575,F072,1
P00576,F072,1
P00577,F073,1
P00578,F073,1
P00579,F073,1
P00580,F073,1
P00581,F073,1
P00582,F073,1
P00583,F073,1
P00584,F073,1
P00585,F074,1
P00586,F074,1
P00587,F074,1
P00588,F074,1
P00589,F074,1
P00590,F074,1
P00591,F074,1
P00592,F074,1
P00593,F075,1
P00594,F075,1
P00595,F075,1
P00596,F075,1
P00597,F075,1
P00598,F075,1
P00599,F075,1
P00600,F075,1
P00601,F076,1
P00602,F076,1
P00603,F076,1
P00604,F076,1
P00605,F076,1
P00606,F076,1
P00607,F076,1
P00608,F076,1
P00609,F077,1
P00610,F077,1
P00611,F077,1
P00612,F077,1
P00613,F077,1
P00614,F077,1
P00615,F077,1
P00616,F077,1
P00617,F078,1
P00618,F078,1
P00619,F078,1
P00620,F078,1
P00621,F078,1
P00622,F078,1
P00623,F078,1
P00624,F078,1
P00625,F079,1
P00626,F079,1
P00627,F079,1
P00628,F079,1
P00629,F079,1
P00630,F079,1
P00631,F079,1
P00632,F079,1
P00633,F080,1
P00634,F080,1
P00635,F080,1
P00636,F080,1
P00637,F080,1
P00638,F080,1
P00639,F080,1
P00640,F080,1
P00641,F081,1
P00642,F081,1
P00643,F081,1
P00644,F081,1
P00645,F081,1
P00646,F081,1
P00647,F081,1
P00648,F081,1
P00649,F082,1
P00650,F082,1
P00651,F082,1
P00652,F082,1
P00653,F082,1
P00654,F082,1
P00655,F082,1
P00656,F082,1
P00657,F083,1
P00658,F083,1
P00659,F083,1
P00660,F083,1
P00661,F083,1
P00662,F083,1
P00663,F083,1
P00664,F083,1
P00665,F084,1
P00666,F084,1
P00667,F084,1
P00668,F084,1
P00669,F084,1
P00670,F084,1
P00671,F084,1
P00672,F084,1
P00673,F085,1
P00674,F085,1
P00675,F085,1
P00676,F085,1
P00677,F085,1
P00678,F085,1
P00679,F085,1
P00680,F085,1
P00681,F086,1
P00682,F086,1
P00683,F086,1
P00684,F086,1
P00685,F086,1
P00686,F086,1
P00687,F086,1
P00688,F086,1
P00689,F087,1
P00690,F087,1
P00691,F087,1
P00692,F087,1
P00693,F087,1
P00694,F087,1
P00695,F087,1
P00696,F087,1
P00697,F088,1
P00698,F088,1
P00699,F088,1
P00700,F088,1
P00701,F088,1
P00702,F088,1
P00703,F088,1
P00704,F088,1
P00705,F089,1
P00706,F089,1
P00707,F089,1
P00708,F089,1
P00709,F089,1
P00710,F089,1
P00711,F089,1
P00712,F089,1
P00713,F090,1
P00714,F090,1
P00715,F090,1
P00716,F090,1
P00717,F090,1
P00718,F090,1
P00719,F090,1
P00720,F090,1
P00721,F091,1
P00722,F091,1
P00723,F091,1
P00724,F091,1
P00725,F091,1
P00726,F091,1
P00727,F091,1
P00728,F091,1
P00729,F092,1
P00730,F092,1
P00731,F092,1
P00732,F092,1
P00733,F092,1
P00734,F092,1
P00735,F092,1
P00736,F092,1
P00737,F093,1
P00738,F093,1
P00739,F093,1
P00740,F093,1
P00741,F093,1
P00742,F093,1
P00743,F093,1
P00744,F093,1
P00745,F094,1
P00746,F094,1
P00747,F094,1
P00748,F094,1
P00749,F094,1
P00750,F094,1
P00751,F094,1
P00752,F094,1
P00753,F095,1
P00754,F095,1
P00755,F095,1
P00756,F095,1
P00757,F095,1
P00758,F095,1
P00759,F095,1
P00760,F095,1
P00761,F096,1
P00762,F096,1
P00763,F096,1
P00764,F096,1
P00765,F096,1
P00766,F096,1
P00767,F096,1
P00768,F096,1
P00769,F097,1
P00770,F097,1
P00771,F097,1
P00772,F097,1
P00773,F097,1
P00774,F097,1
P00775,F097,1
P00776,F097,1
P00777,F098,1
P00778,F098,1
P00779,F098,1
P00780,F098,1
P00781,F098,1
P00782,F098,1
P00783,F098,1
P00784,F098,1
P00785,F099,1
P00786,F099,1
P00787,F099,1
P00788,F099,1
P00789,F099,1
P00790,F099,1
P00791,F099,1
P00792,F099,1
P00793,F100,1
P00794,F100,1
P00795,F100,1
P00796,F100,1
P00797,F100,1
P00798,F100,1
P00799,F100,1
P00800,F100,1
P00801,F001,1
P00801,F013,2
P00802,F001,1
P00802,F013,2
P00803,F001,1
P00803,F025,2
P00804,F001,1
P00804,F025,2
P00805,F001,1
P00805,F097,2
P00806,F001,1
P00806,F097,2
P00807,F003,1
P00807,F014,2
P00808,F003,1
P00808,F014,2
P00809,F004,1
P00809,F017,2
P00810,F004,1
P00810,F017,2
P00811,F010,1
P00811,F032,2
P00812,F010,1
P00812,F032,2
P00813,F012,1
P00813,F031,2
P00814,F012,1
P00814,F031,2
P00815,F012,1
P00815,F096,2
P00816,F012,1
P00816,F096,2
P00817,F021,1
P00817,F038,2
P00818,F021,1
P00818,F038,2
P00819,F021,1
P00819,F095,2
P00820,F021,1
P00820,F095,2
P00821,F026,1
P00821,F043,2
P00822,F026,1
P00822,F043,2
P00823,F026,1
P00823,F080,2
P00824,F052,1
P00824,F061,2
P00825,F052,1
P00825,F061,2
P00826,F067,1
P00826,F080,2
P00827,F067,1
P00827,F080,2
P00828,F078,1
P00828,F095,2
P00829,F078,1
P00829,F095,2
P00830,F079,1
P00830,F096,2
P00831,F079,1
P00831,F096,2
P00832,F009,1
P00832,F030,2
P00833,F009,1
P00833,F030,2
P00834,F009,1
P00834,F086,2
P00835,F009,1
P00835,F086,2
P00836,F009,1
P00836,F093,2
P00837,F009,1
P00837,F093,2
P00838,F022,1
P00838,F045,2
P00839,F022,1
P00839,F045,2
P00840,F022,1
P00840,F098,2
P00841,F022,1
P00841,F098,2
P00842,F023,1
P00842,F034,2
P00843,F023,1
P00843,F034,2
P00844,F023,1
P00844,F074,2
P00845,F028,1
P00845,F039,2
P00846,F028,1
P00846,F039,2
P00847,F036,1
P00847,F058,2
P00848,F036,1
P00848,F058,2
P00849,F049,1
P00849,F063,2
P00850,F049,1
P00850,F063,2
P00851,F049,1
P00851,F092,2
P00852,F049,1
P00852,F092,2
P00853,F049,1
P00853,F094,2
P00854,F049,1
P00854,F094,2
P00855,F051,1
P00855,F059,2
P00856,F051,1
P00856,F059,2
P00857,F053,1
P00857,F060,2
P00858,F053,1
P00858,F060,2
P00859,F064,1
P00859,F092,2
P00860,F064,1
P00860,F092,2
P00861,F064,1
P00861,F094,2
P00862,F064,1
P00862,F094,2
P00863,F068,1
P00863,F074,2
P00864,F068,1
P00864,F074,2
P00865,F071,1
P00865,F086,2
P00866,F071,1
P00866,F086,2
P00867,F071,1
P00867,F093,2
P00868,F071,1
P00868,F093,2
P00869,F072,1
P00869,F098,2
P00870,F072,1
P00870,F098,2
P00871,F006,1
P00871,F019,2
P00872,F006,1
P00872,F019,2
P00873,F007,1
P00873,F018,2
P00874,F007,1
P00874,F018,2
P00875,F007,1
P00875,F091,2
P00876,F011,1
P00876,F042,2
P00877,F011,1
P00877,F042,2
P00878,F011,1
P00878,F092,2
P00879,F011,1
P00879,F092,2
P00880,F011,1
P00880,F094,2
P00881,F011,1
P00881,F094,2
P00882,F027,1
P00882,F041,2
P00883,F027,1
P00883,F041,2
P00884,F027,1
P00884,F085,2
P00885,F033,1
P00885,F047,2
P00886,F033,1
P00886,F047,2
P00887,F033,1
P00887,F084,2
P00888,F033,1
P00888,F084,2
P00889,F046,1
P00889,F055,2
P00890,F046,1
P00890,F055,2
P00891,F046,1
P00891,F083,2
P00892,F046,1
P00892,F083,2
P00893,F048,1
P00893,F062,2
P00894,F048,1
P00894,F062,2
P00895,F048,1
P00895,F086,2
P00896,F048,1
P00896,F086,2
P00897,F048,1
P00897,F093,2
P00898,F048,1
P00898,F093,2
P00899,F050,1
P00899,F057,2
P00900,F050,1
P00900,F057,2
P00901,F065,1
P00901,F092,2
P00902,F065,1
P00902,F092,2
P00903,F065,1
P00903,F094,2
P00904,F065,1
P00904,F094,2
P00905,F066,1
P00905,F083,2
P00906,F066,1
P00906,F083,2
P00907,F069,1
P00907,F084,2
P00908,F069,1
P00908,F084,2
P00909,F070,1
P00909,F085,2
P00910,F070,1
P00910,F085,2
P00911,F076,1
P00911,F091,2
P00912,F076,1
P00912,F091,2
P00913,F081,1
P00913,F093,2
P00914,F081,1
P00914,F093,2
P00915,F002,1
P00915,F016,2
P00916,F002,1
P00916,F016,2
P00917,F002,1
P00917,F031,2
P00918,F002,1
P00918,F031,2
P00919,F002,1
P00919,F096,2
P00920,F002,1
P00920,F096,2
P00921,F005,1
P00921,F015,2
P00922,F005,1
P00922,F015,2
P00923,F005,1
P00923,F100,2
P00924,F005,1
P00924,F100,2
P00925,F008,1
P00925,F025,2
P00926,F008,1
P00926,F025,2
P00927,F008,1
P00927,F097,2
P00928,F008,1
P00928,F097,2
P00929,F020,1
P00929,F035,2
P00930,F020,1
P00930,F035,2
P00931,F020,1
P00931,F090,2
P00932,F020,1
P00932,F090,2
P00933,F024,1
P00933,F040,2
P00934,F024,1
P00934,F040,2
P00935,F029,1
P00935,F044,2
P00936,F029,1
P00936,F044,2
P00937,F037,1
P00937,F054,2
P00938,F037,1
P00938,F054,2
P00939,F037,1
P00939,F087,2
P00940,F037,1
P00940,F087,2
P00941,F056,1
P00941,F077,2
P00942,F056,1
P00942,F077,2
P00943,F073,1
P00943,F087,2
P00944,F073,1
P00944,F087,2
P00945,F075,1
P00945,F097,2
P00946,F075,1
P00946,F097,2
P00947,F082,1
P00947,F090,2
P00948,F082,1
P00948,F090,2
P00949,F088,1
P00949,F100,2
P00950,F088,1
P00950,F100,2
P00951,F001,1
P00951,F013,2
P00951,F052,3
P00952,F001,1
P00952,F013,2
P00952,F052,3
P00953,F004,1
P00953,F017,2
P00953,F052,3
P00954,F010,1
P00954,F032,2
P00954,F052,3
P00955,F010,1
P00955,F032,2
P00955,F052,3
P00956,F012,1
P00956,F031,2
P00956,F052,3
P00957,F012,1
P00957,F031,2
P00957,F052,3
P00958,F021,1
P00958,F038,2
P00958,F052,3
P00959,F021,1
P00959,F038,2
P00959,F052,3
P00960,F009,1
P00960,F030,2
P00960,F049,3
P00961,F009,1
P00961,F030,2
P00961,F049,3
P00962,F009,1
P00962,F030,2
P00962,F051,3
P00963,F023,1
P00963,F034,2
P00963,F051,3
P00964,F023,1
P00964,F034,2
P00964,F053,3
P00965,F023,1
P00965,F034,2
P00965,F053,3
P00966,F028,1
P00966,F039,2
P00966,F051,3
P00967,F028,1
P00967,F039,2
P00967,F053,3
P00968,F028,1
P00968,F039,2
P00968,F053,3
P00969,F068,1
P00969,F074,2
P00969,F099,3
P00970,F006,1
P00970,F019,2
P00970,F033,3
P00971,F006,1
P00971,F019,2
P00971,F033,3
P00972,F006,1
P00972,F019,2
P00972,F046,3
P00973,F006,1
P00973,F019,2
P00973,F046,3
P00974,F007,1
P00974,F018,2
P00974,F033,3
P00975,F007,1
P00975,F018,2
P00975,F046,3
P00976,F005,1
P00976,F015,2
P00976,F037,3
P00977,F008,1
P00977,F025,2
P00977,F056,3
P00978,F008,1
P00978,F025,2
P00978,F056,3
P00979,F020,1
P00979,F035,2
P00979,F056,3
P00980,F020,1
P00980,F035,2
P00980,F056,3
P00981,F024,1
P00981,F040,2
P00981,F056,3
P00982,F024,1
P00982,F040,2
P00982,F056,3
