base,qualification_pool,start_day,end_day,num_legs,duty_min,block_min,deadhead_min,overnight_station,hotel_nights,hotel_key,hotel_day,preference_penalty,expected_delay_risk,cost,risk_S0_nominal,risk_S1_weather_NE,risk_S2_weather_SE,risk_S3_ATC_MW,risk_S4_west_coast,pairing_id,pairing_type
ATL,NB,1,1,1,187,67,45,,0,,0,0,0.0,2247.8,0.0,0.0,0.0,0.0,0.0,P00249,recovery_single
ATL,BOTH,1,1,1,187,67,45,,0,,0,0,0.0,2247.8,0.0,0.0,0.0,0.0,0.0,P00250,recovery_single
DFW,NB,1,1,1,179,45,59,,0,,0,0,0.0,2253.5,0.0,0.0,0.0,0.0,0.0,P00307,recovery_single
DFW,BOTH,1,1,1,179,45,59,,0,,0,0,0.0,2253.5,0.0,0.0,0.0,0.0,0.0,P00308,recovery_single
DFW,RJ,1,1,1,184,57,52,,0,,0,0,0.0,2254.05,0.0,0.0,0.0,0.0,0.0,P00467,recovery_single
DFW,BOTH,1,1,1,184,57,52,,0,,0,0,0.0,2254.05,0.0,0.0,0.0,0.0,0.0,P00468,recovery_single
ORD,NB,2,2,1,195,75,45,,0,,0,0,0.0,2275.0,0.0,0.0,0.0,0.0,0.0,P00669,recovery_single
ORD,BOTH,2,2,1,195,75,45,,0,,0,0,0.0,2275.0,0.0,0.0,0.0,0.0,0.0,P00670,recovery_single
JFK,NB,1,1,1,195,74,46,,0,,0,0,0.0,2277.35,0.0,0.0,0.0,0.0,0.0,P00279,recovery_single
JFK,BOTH,1,1,1,195,74,46,,0,,0,0,0.0,2277.35,0.0,0.0,0.0,0.0,0.0,P00280,recovery_single
ATL,NB,2,2,1,185,47,63,,0,,0,0,0.0,2283.3,0.0,0.0,0.0,0.0,0.0,P00761,recovery_single
ATL,BOTH,2,2,1,185,47,63,,0,,0,0,0.0,2283.3,0.0,0.0,0.0,0.0,0.0,P00762,recovery_single
JFK,NB,2,2,1,198,77,46,,0,,0,0,0.0,2287.55,0.0,0.0,0.0,0.0,0.0,P00719,recovery_single
JFK,BOTH,2,2,1,198,77,46,,0,,0,0,0.0,2287.55,0.0,0.0,0.0,0.0,0.0,P00720,recovery_single
DFW,NB,1,1,1,186,45,66,,0,,0,0,0.0,2293.75,0.0,0.0,0.0,0.0,0.0,P00475,recovery_single
DFW,BOTH,1,1,1,186,45,66,,0,,0,0,0.0,2293.75,0.0,0.0,0.0,0.0,0.0,P00476,recovery_single
DFW,NB,1,1,1,193,61,57,,0,,0,0,0.0,2296.4,0.0,0.0,0.0,0.0,0.0,P00267,recovery_single
DFW,BOTH,1,1,1,193,61,57,,0,,0,0,0.0,2296.4,0.0,0.0,0.0,0.0,0.0,P00268,recovery_single
ATL,NB,1,1,1,193,58,60,,0,,0,0,0.0,2303.45,0.0,0.0,0.0,0.0,0.0,P00297,recovery_single
ATL,BOTH,1,1,1,193,58,60,,0,,0,0,0.0,2303.45,0.0,0.0,0.0,0.0,0.0,P00298,recovery_single
JFK,NB,2,2,1,205,85,45,,0,,0,0,0.0,2309.0,0.0,0.0,0.0,0.0,0.0,P00615,recovery_single
JFK,BOTH,2,2,1,205,85,45,,0,,0,0,0.0,2309.0,0.0,0.0,0.0,0.0,0.0,P00616,recovery_single
ORD,NB,1,1,1,196,62,59,,0,,0,0,0.0,2311.3,0.0,0.0,0.0,0.0,0.0,P00493,recovery_single
ORD,BOTH,1,1,1,196,62,59,,0,,0,0,0.0,2311.3,0.0,0.0,0.0,0.0,0.0,P00494,recovery_single
ATL,NB,2,2,1,197,62,60,,0,,0,0,0.0,2317.05,0.0,0.0,0.0,0.0,0.0,P00753,recovery_single
ATL,BOTH,2,2,1,197,62,60,,0,,0,0,0.0,2317.05,0.0,0.0,0.0,0.0,0.0,P00754,recovery_single
ORD,NB,2,2,1,198,64,59,,0,,0,0,0.0,2318.1,0.0,0.0,0.0,0.0,0.0,P00741,recovery_single
ORD,BOTH,2,2,1,198,64,59,,0,,0,0,0.0,2318.1,0.0,0.0,0.0,0.0,0.0,P00742,recovery_single
ATL,NB,1,1,1,203,71,57,,0,,0,0,0.0,2330.4,0.0,0.0,0.0,0.0,0.0,P00105,recovery_single
ATL,BOTH,1,1,1,203,71,57,,0,,0,0,0.0,2330.4,0.0,0.0,0.0,0.0,0.0,P00106,recovery_single
ATL,NB,1,1,1,201,63,63,,0,,0,0,0.0,2337.7,0.0,0.0,0.0,0.0,0.0,P00241,recovery_single
ATL,BOTH,1,1,1,201,63,63,,0,,0,0,0.0,2337.7,0.0,0.0,0.0,0.0,0.0,P00242,recovery_single
ORD,NB,1,1,1,204,65,64,,0,,0,0,0.0,2350.25,0.0,0.0,0.0,0.0,0.0,P00149,recovery_single
ORD,BOTH,1,1,1,204,65,64,,0,,0,0,0.0,2350.25,0.0,0.0,0.0,0.0,0.0,P00150,recovery_single
DFW,RJ,2,2,1,210,78,57,,0,,0,0,0.0,2354.2,0.0,0.0,0.0,0.0,0.0,P00587,recovery_single
DFW,BOTH,2,2,1,210,78,57,,0,,0,0,0.0,2354.2,0.0,0.0,0.0,0.0,0.0,P00588,recovery_single
DFW,RJ,1,1,1,172,52,45,AUS,1,AUS_D1,1,4,0.0,2385.8,0.0,0.0,0.0,0.0,0.0,P00403,recovery_single
DFW,BOTH,1,1,1,172,52,45,AUS,1,AUS_D1,1,4,0.0,2385.8,0.0,0.0,0.0,0.0,0.0,P00404,recovery_single
DFW,NB,2,2,1,165,45,45,AUS,1,AUS_D2,2,36,0.0,2394.0,0.0,0.0,0.0,0.0,0.0,P00787,recovery_single
DFW,BOTH,2,2,1,165,45,45,AUS,1,AUS_D2,2,36,0.0,2394.0,0.0,0.0,0.0,0.0,0.0,P00788,recovery_single
ORD,NB,2,2,1,229,100,54,,0,,0,0,0.0,2411.75,0.0,0.0,0.0,0.0,0.0,P00677,recovery_single
ORD,BOTH,2,2,1,229,100,54,,0,,0,0,0.0,2411.75,0.0,0.0,0.0,0.0,0.0,P00678,recovery_single
ORD,RJ,1,1,1,172,45,52,MSP,1,MSP_D1,1,19,0.0,2417.25,0.0,0.0,0.0,0.0,0.0,P00397,recovery_single
ORD,BOTH,1,1,1,172,45,52,MSP,1,MSP_D1,1,19,0.0,2417.25,0.0,0.0,0.0,0.0,0.0,P00398,recovery_single
ATL,NB,1,1,1,214,59,80,,0,,0,0,0.0,2421.85,0.0,0.0,0.0,0.0,0.0,P00481,recovery_single
ATL,BOTH,1,1,1,214,59,80,,0,,0,0,0.0,2421.85,0.0,0.0,0.0,0.0,0.0,P00482,recovery_single
ORD,RJ,1,1,1,222,73,74,,0,,0,0,0.0,2434.95,0.0,0.0,0.0,0.0,0.0,P00453,recovery_single
ORD,BOTH,1,1,1,222,73,74,,0,,0,0,0.0,2434.95,0.0,0.0,0.0,0.0,0.0,P00454,recovery_single
ORD,NB,1,1,1,176,45,56,CLE,1,CLE_D1,1,19,0.0,2440.25,0.0,0.0,0.0,0.0,0.0,P00365,recovery_single
ORD,BOTH,1,1,1,176,45,56,CLE,1,CLE_D1,1,19,0.0,2440.25,0.0,0.0,0.0,0.0,0.0,P00366,recovery_single
ATL,RJ,1,1,1,234,92,67,,0,,0,0,0.0,2459.3,0.0,0.0,0.0,0.0,0.0,P00129,recovery_single
ATL,BOTH,1,1,1,234,92,67,,0,,0,0,0.0,2459.3,0.0,0.0,0.0,0.0,0.0,P00130,recovery_single
DFW,NB,1,1,1,186,46,65,SAT,1,SAT_D1,1,4,0.0,2480.4,0.0,0.0,0.0,0.0,0.0,P00219,recovery_single
DFW,BOTH,1,1,1,186,46,65,SAT,1,SAT_D1,1,4,0.0,2480.4,0.0,0.0,0.0,0.0,0.0,P00220,recovery_single
ORD,NB,2,2,1,179,48,56,CLE,1,CLE_D2,2,51,0.0,2482.45,0.0,0.0,0.0,0.0,0.0,P00525,recovery_single
ORD,BOTH,2,2,1,179,48,56,CLE,1,CLE_D2,2,51,0.0,2482.45,0.0,0.0,0.0,0.0,0.0,P00526,recovery_single
ORD,NB,2,2,1,185,58,52,MSP,1,MSP_D2,2,51,0.0,2493.45,0.0,0.0,0.0,0.0,0.0,P00709,recovery_single
ORD,BOTH,2,2,1,185,58,52,MSP,1,MSP_D2,2,51,0.0,2493.45,0.0,0.0,0.0,0.0,0.0,P00710,recovery_single
ORD,NB,2,2,1,231,53,103,,0,,0,0,0.0,2533.7,0.0,0.0,0.0,0.0,0.0,P00661,recovery_single
ORD,BOTH,2,2,1,231,53,103,,0,,0,0,0.0,2533.7,0.0,0.0,0.0,0.0,0.0,P00662,recovery_single
JFK,RJ,1,1,1,228,45,108,,0,,0,0,0.0,2535.25,0.0,0.0,0.0,0.0,0.0,P00119,recovery_single
JFK,BOTH,1,1,1,228,45,108,,0,,0,0,0.0,2535.25,0.0,0.0,0.0,0.0,0.0,P00120,recovery_single
JFK,NB,2,2,1,191,49,67,IAD,1,IAD_D2,2,38,0.0,2536.1,0.0,0.0,0.0,0.0,0.0,P00655,recovery_single
JFK,BOTH,2,2,1,191,49,67,IAD,1,IAD_D2,2,38,0.0,2536.1,0.0,0.0,0.0,0.0,0.0,P00656,recovery_single
DFW,NB,1,1,1,217,97,45,HOU,1,HOU_D1,1,4,0.0,2538.8,0.0,0.0,0.0,0.0,0.0,P00419,recovery_single
DFW,BOTH,1,1,1,217,97,45,HOU,1,HOU_D1,1,4,0.0,2538.8,0.0,0.0,0.0,0.0,0.0,P00420,recovery_single
JFK,RJ,1,1,1,200,52,73,DCA,1,DCA_D1,1,2,0.0,2544.8,0.0,0.0,0.0,0.0,0.0,P00039,recovery_single
JFK,BOTH,1,1,1,200,52,73,DCA,1,DCA_D1,1,2,0.0,2544.8,0.0,0.0,0.0,0.0,0.0,P00040,recovery_single
ORD,NB,2,2,1,189,45,69,MCI,1,MCI_D2,2,51,0.0,2547.0,0.0,0.0,0.0,0.0,0.0,P00645,recovery_single
ORD,BOTH,2,2,1,189,45,69,MCI,1,MCI_D2,2,51,0.0,2547.0,0.0,0.0,0.0,0.0,0.0,P00646,recovery_single
ATL,NB,2,2,1,245,79,91,,0,,0,0,0.0,2553.1,0.0,0.0,0.0,0.0,0.0,P00633,recovery_single
ATL,BOTH,2,2,1,245,79,91,,0,,0,0,0.0,2553.1,0.0,0.0,0.0,0.0,0.0,P00634,recovery_single
ORD,RJ,1,1,1,196,45,76,DTW,1,DTW_D1,1,19,0.0,2555.25,0.0,0.0,0.0,0.0,0.0,P00053,recovery_single
ORD,BOTH,1,1,1,196,45,76,DTW,1,DTW_D1,1,19,0.0,2555.25,0.0,0.0,0.0,0.0,0.0,P00054,recovery_single
JFK,NB,1,1,1,213,67,71,PHL,1,PHL_D1,1,2,0.0,2584.3,0.0,0.0,0.0,0.0,0.0,P00447,recovery_single
JFK,BOTH,1,1,1,213,67,71,PHL,1,PHL_D1,1,2,0.0,2584.3,0.0,0.0,0.0,0.0,0.0,P00448,recovery_single
ORD,NB,2,2,1,238,48,115,,0,,0,0,0.0,2585.7,0.0,0.0,0.0,0.0,0.0,P00725,recovery_single
ORD,BOTH,2,2,1,238,48,115,,0,,0,0,0.0,2585.7,0.0,0.0,0.0,0.0,0.0,P00726,recovery_single
JFK,RJ,2,2,1,202,54,73,DCA,1,DCA_D2,2,38,0.0,2587.6,0.0,0.0,0.0,0.0,0.0,P00703,recovery_single
JFK,BOTH,2,2,1,202,54,73,DCA,1,DCA_D2,2,38,0.0,2587.6,0.0,0.0,0.0,0.0,0.0,P00704,recovery_single
JFK,NB,1,1,1,217,75,67,IAD,1,IAD_D1,1,2,0.0,2588.5,0.0,0.0,0.0,0.0,0.0,P00159,recovery_single
JFK,BOTH,1,1,1,217,75,67,IAD,1,IAD_D1,1,2,0.0,2588.5,0.0,0.0,0.0,0.0,0.0,P00160,recovery_single
ORD,NB,1,1,1,214,68,71,PIT,1,PIT_D1,1,19,0.0,2604.7,0.0,0.0,0.0,0.0,0.0,P00045,recovery_single
ORD,BOTH,1,1,1,214,68,71,PIT,1,PIT_D1,1,19,0.0,2604.7,0.0,0.0,0.0,0.0,0.0,P00046,recovery_single
ATL,NB,2,2,1,205,65,65,SAV,1,SAV_D2,2,64,0.0,2605.0,0.0,0.0,0.0,0.0,0.0,P00529,recovery_single
ATL,BOTH,2,2,1,205,65,65,SAV,1,SAV_D2,2,64,0.0,2605.0,0.0,0.0,0.0,0.0,0.0,P00530,recovery_single
JFK,NB,1,1,1,220,69,76,BOS,1,BOS_D1,1,2,0.0,2619.85,0.0,0.0,0.0,0.0,0.0,P00295,recovery_single
JFK,BOTH,1,1,1,220,69,76,BOS,1,BOS_D1,1,2,0.0,2619.85,0.0,0.0,0.0,0.0,0.0,P00296,recovery_single
ORD,NB,1,1,1,257,79,103,,0,,0,0,0.0,2622.1,0.0,0.0,0.0,0.0,0.0,P00437,recovery_single
ORD,BOTH,1,1,1,257,79,103,,0,,0,0,0.0,2622.1,0.0,0.0,0.0,0.0,0.0,P00438,recovery_single
ATL,RJ,1,1,1,268,102,91,,0,,0,0,0.0,2631.3,0.0,0.0,0.0,0.0,0.0,P00337,recovery_single
ATL,BOTH,1,1,1,268,102,91,,0,,0,0,0.0,2631.3,0.0,0.0,0.0,0.0,0.0,P00338,recovery_single
ATL,NB,1,1,1,211,74,62,BNA,1,BNA_D1,1,79,0.0,2633.35,0.0,0.0,0.0,0.0,0.0,P00073,recovery_single
ATL,BOTH,1,1,1,211,74,62,BNA,1,BNA_D1,1,79,0.0,2633.35,0.0,0.0,0.0,0.0,0.0,P00074,recovery_single
ORD,RJ,1,1,1,255,65,115,,0,,0,0,0.0,2643.5,0.0,0.0,0.0,0.0,0.0,P00141,recovery_single
ORD,BOTH,1,1,1,255,65,115,,0,,0,0,0.0,2643.5,0.0,0.0,0.0,0.0,0.0,P00142,recovery_single
ATL,NB,1,1,1,273,108,90,,0,,0,0,0.0,2645.95,0.0,0.0,0.0,0.0,0.0,P00097,recovery_single
ATL,BOTH,1,1,1,273,108,90,,0,,0,0,0.0,2645.95,0.0,0.0,0.0,0.0,0.0,P00098,recovery_single
ORD,NB,1,1,1,228,84,69,MCI,1,MCI_D1,1,19,0.0,2647.6,0.0,0.0,0.0,0.0,0.0,P00381,recovery_single
ORD,BOTH,1,1,1,228,84,69,MCI,1,MCI_D1,1,19,0.0,2647.6,0.0,0.0,0.0,0.0,0.0,P00382,recovery_single
ATL,NB,1,1,1,205,52,78,FLL,1,FLL_D1,1,79,0.0,2650.55,0.0,0.0,0.0,0.0,0.0,P00089,recovery_single
ATL,BOTH,1,1,1,205,52,78,FLL,1,FLL_D1,1,79,0.0,2650.55,0.0,0.0,0.0,0.0,0.0,P00090,recovery_single
JFK,NB,2,2,1,276,113,88,,0,,0,0,0.0,2651.45,0.0,0.0,0.0,0.0,0.0,P00775,recovery_single
JFK,BOTH,2,2,1,276,113,88,,0,,0,0,0.0,2651.45,0.0,0.0,0.0,0.0,0.0,P00776,recovery_single
DFW,NB,1,1,1,216,45,96,IAH,1,IAH_D1,1,4,0.0,2655.25,0.0,0.0,0.0,0.0,0.0,P00179,recovery_single
DFW,BOTH,1,1,1,216,45,96,IAH,1,IAH_D1,1,4,0.0,2655.25,0.0,0.0,0.0,0.0,0.0,P00180,recovery_single
ORD,NB,2,2,1,208,45,88,STL,1,STL_D2,2,51,0.0,2656.25,0.0,0.0,0.0,0.0,0.0,P00549,recovery_single
ORD,BOTH,2,2,1,208,45,88,STL,1,STL_D2,2,51,0.0,2656.25,0.0,0.0,0.0,0.0,0.0,P00550,recovery_single
ORD,NB,1,1,1,219,56,88,STL,1,STL_D1,1,19,0.0,2661.65,0.0,0.0,0.0,0.0,0.0,P00261,recovery_single
ORD,BOTH,1,1,1,219,56,88,STL,1,STL_D1,1,19,0.0,2661.65,0.0,0.0,0.0,0.0,0.0,P00262,recovery_single
ATL,NB,2,2,1,214,61,78,FLL,1,FLL_D2,2,64,0.0,2666.15,0.0,0.0,0.0,0.0,0.0,P00625,recovery_single
ATL,BOTH,2,2,1,214,61,78,FLL,1,FLL_D2,2,64,0.0,2666.15,0.0,0.0,0.0,0.0,0.0,P00626,recovery_single
JFK,RJ,2,2,1,268,85,108,,0,,0,0,0.0,2671.25,0.0,0.0,0.0,0.0,0.0,P00799,recovery_single
JFK,BOTH,2,2,1,268,85,108,,0,,0,0,0.0,2671.25,0.0,0.0,0.0,0.0,0.0,P00800,recovery_single
JFK,NB,1,1,1,282,119,88,,0,,0,0,0.0,2671.85,0.0,0.0,0.0,0.0,0.0,P00199,recovery_single
JFK,BOTH,1,1,1,282,119,88,,0,,0,0,0.0,2671.85,0.0,0.0,0.0,0.0,0.0,P00200,recovery_single
ORD,NB,2,2,1,222,71,76,DTW,1,DTW_D2,2,51,0.0,2675.65,0.0,0.0,0.0,0.0,0.0,P00605,recovery_single
ORD,BOTH,2,2,1,222,71,76,DTW,1,DTW_D2,2,51,0.0,2675.65,0.0,0.0,0.0,0.0,0.0,P00606,recovery_single
ATL,NB,1,1,1,220,69,76,RDU,1,RDU_D1,1,79,0.0,2696.85,0.0,0.0,0.0,0.0,0.0,P00017,recovery_single
ATL,BOTH,1,1,1,220,69,76,RDU,1,RDU_D1,1,79,0.0,2696.85,0.0,0.0,0.0,0.0,0.0,P00018,recovery_single
ORD,NB,2,2,1,216,46,95,CMH,1,CMH_D2,2,51,0.0,2699.9,0.0,0.0,0.0,0.0,0.0,P00557,recovery_single
ORD,BOTH,2,2,1,216,46,95,CMH,1,CMH_D2,2,51,0.0,2699.9,0.0,0.0,0.0,0.0,0.0,P00558,recovery_single
ATL,NB,1,1,1,234,100,59,TPA,1,TPA_D1,1,79,0.0,2704.5,0.0,0.0,0.0,0.0,0.0,P00161,recovery_single
ATL,BOTH,1,1,1,234,100,59,TPA,1,TPA_D1,1,79,0.0,2704.5,0.0,0.0,0.0,0.0,0.0,P00162,recovery_single
DFW,RJ,2,2,1,222,51,96,IAH,1,IAH_D2,2,36,0.0,2707.65,0.0,0.0,0.0,0.0,0.0,P00539,recovery_single
DFW,BOTH,2,2,1,222,51,96,IAH,1,IAH_D2,2,36,0.0,2707.65,0.0,0.0,0.0,0.0,0.0,P00540,recovery_single
ATL,NB,2,2,1,241,107,59,TPA,1,TPA_D2,2,64,0.0,2713.3,0.0,0.0,0.0,0.0,0.0,P00617,recovery_single
ATL,BOTH,2,2,1,241,107,59,TPA,1,TPA_D2,2,64,0.0,2713.3,0.0,0.0,0.0,0.0,0.0,P00618,recovery_single
JFK,NB,2,2,1,238,87,76,BOS,1,BOS_D2,2,38,0.0,2717.05,0.0,0.0,0.0,0.0,0.0,P00583,recovery_single
JFK,BOTH,2,2,1,238,87,76,BOS,1,BOS_D2,2,38,0.0,2717.05,0.0,0.0,0.0,0.0,0.0,P00584,recovery_single
ATL,NB,1,1,1,234,83,76,CLT,1,CLT_D1,1,79,0.0,2744.45,0.0,0.0,0.0,0.0,0.0,P00001,recovery_single
ATL,BOTH,1,1,1,234,83,76,CLT,1,CLT_D1,1,79,0.0,2744.45,0.0,0.0,0.0,0.0,0.0,P00002,recovery_single
JFK,NB,1,1,1,241,77,89,FLL,1,FLL_D1,1,66,0.0,2785.8,0.0,0.0,0.0,0.0,0.0,P00015,recovery_single
JFK,BOTH,1,1,1,241,77,89,FLL,1,FLL_D1,1,66,0.0,2785.8,0.0,0.0,0.0,0.0,0.0,P00016,recovery_single
ATL,NB,1,1,1,231,58,98,MIA,1,MIA_D1,1,79,0.0,2785.95,0.0,0.0,0.0,0.0,0.0,P00409,recovery_single
ATL,BOTH,1,1,1,231,58,98,MIA,1,MIA_D1,1,79,0.0,2785.95,0.0,0.0,0.0,0.0,0.0,P00410,recovery_single
ATL,RJ,1,1,1,256,116,65,SAV,1,SAV_D1,1,79,0.0,2793.4,0.0,0.0,0.0,0.0,0.0,P00201,recovery_single
ATL,BOTH,1,1,1,256,116,65,SAV,1,SAV_D1,1,79,0.0,2793.4,0.0,0.0,0.0,0.0,0.0,P00202,recovery_single
ORD,RJ,1,1,1,253,83,95,CMH,1,CMH_D1,1,19,0.0,2793.7,0.0,0.0,0.0,0.0,0.0,P00213,recovery_single
ORD,BOTH,1,1,1,253,83,95,CMH,1,CMH_D1,1,19,0.0,2793.7,0.0,0.0,0.0,0.0,0.0,P00214,recovery_single
JFK,NB,2,2,1,256,99,82,CLT,1,CLT_D2,2,47,0.0,2801.35,0.0,0.0,0.0,0.0,0.0,P00599,recovery_single
JFK,BOTH,2,2,1,256,99,82,CLT,1,CLT_D2,2,47,0.0,2801.35,0.0,0.0,0.0,0.0,0.0,P00600,recovery_single
JFK,NB,1,1,1,319,144,100,,0,,0,0,0.0,2825.85,0.0,0.0,0.0,0.0,0.0,P00319,recovery_single
