flight_id,day,origin,destination,departure_min,arrival_min,departure_time,arrival_time,block_min,equipment,qual_required,priority,demand_weight
F088,2,JFK,DCA,2043,2097,D2 10:03,D2 10:57,54,E175,RJ,3,1.78
F089,2,ORD,MSP,2051,2109,D2 10:11,D2 11:09,58,A320,NB,2,1.27
F090,2,IAD,JFK,2054,2131,D2 10:14,D2 11:31,77,B737,NB,2,1.21
F091,2,DTW,ORD,2062,2110,D2 10:22,D2 11:10,48,B737,NB,2,1.42
F092,2,DEN,DFW,2068,2256,D2 10:28,D2 13:36,188,B737,NB,2,1.23
F093,2,MCI,ORD,2070,2134,D2 10:30,D2 11:34,64,A320,NB,2,1.73
F094,2,DEN,ORD,2073,2290,D2 10:33,D2 14:10,217,B737,NB,2,0.88
F095,2,TPA,ATL,2084,2146,D2 10:44,D2 11:46,62,A320,NB,3,1.65
F096,2,FLL,ATL,2096,2143,D2 10:56,D2 11:43,47,B737,NB,1,1.28
F097,2,CLT,JFK,2097,2210,D2 10:57,D2 12:50,113,A320,NB,2,0.81
F098,2,LAS,DFW,2139,2315,D2 11:39,D2 14:35,176,A320,NB,2,1.52
F099,2,DFW,AUS,2151,2196,D2 11:51,D2 12:36,45,A320,NB,3,1.24
F100,2,DCA,JFK,2156,2241,D2 11:56,D2 13:21,85,E175,RJ,3,1.78
