base,qualification_pool,start_day,end_day,num_legs,duty_min,block_min,deadhead_min,overnight_station,hotel_nights,hotel_key,hotel_day,preference_penalty,expected_delay_risk,cost,risk_S0_nominal,risk_S1_weather_NE,risk_S2_weather_SE,risk_S3_ATC_MW,risk_S4_west_coast,pairing_id,pairing_type
ORD,NB,1,1,2,568,431,0,,0,,0,0,6.17,1871.01,0.0,0.0,15.0,15.0,41.0,P00876,round_trip
ATL,NB,2,2,2,289,108,0,,0,,0,0,0.0,756.35,0.0,0.0,0.0,0.0,0.0,P00830,round_trip
ATL,NB,2,2,2,286,144,0,,0,,0,0,3.9,865.1,0.0,0.0,30.0,0.0,0.0,P00826,round_trip
ATL,NB,2,2,2,293,169,0,,0,,0,0,9.08,1004.64,2.0,0.0,56.0,0.0,10.0,P00828,round_trip
ATL,NB,2,2,1,372,58,239,MSP,1,MSP_D2,2,81,0.0,3598.7,0.0,0.0,0.0,0.0,0.0,P00705,recovery_single
DFW,NB,2,2,2,412,268,0,,0,,0,0,1.53,1248.34,0.0,0.0,0.0,17.0,0.0,P00865,round_trip
DFW,NB,2,2,2,548,378,0,,0,,0,0,1.47,1677.16,0.0,0.0,0.0,0.0,21.0,P00859,round_trip
DFW,NB,2,2,2,519,378,0,,0,,0,0,10.97,1785.81,16.0,0.0,0.0,0.0,31.0,P00869,round_trip
DFW,BOTH,2,2,3,515,174,45,AUS,1,AUS_D2,2,36,5.69,1930.17,3.0,15.0,5.0,11.0,0.0,P00969,three_leg
JFK,NB,2,2,2,275,132,0,,0,,0,0,5.28,851.29,0.0,33.0,0.0,0.0,0.0,P00943,round_trip
JFK,NB,2,2,2,263,126,0,,0,,0,0,7.34,855.07,0.0,38.0,0.0,14.0,0.0,P00947,round_trip
JFK,RJ,2,2,2,273,139,0,,0,,0,0,8.48,913.34,0.0,53.0,0.0,0.0,0.0,P00949,round_trip
JFK,NB,2,2,2,381,212,0,,0,,0,0,0.0,1084.15,0.0,0.0,0.0,0.0,0.0,P00945,round_trip
ORD,NB,2,2,2,285,101,0,,0,,0,0,0.0,739.0,0.0,0.0,0.0,0.0,0.0,P00905,round_trip
ORD,NB,2,2,2,275,109,0,,0,,0,0,0.9,743.7,0.0,0.0,0.0,10.0,0.0,P00913,round_trip
ORD,NB,2,2,2,279,119,0,,0,,0,0,0.18,751.84,0.0,0.0,0.0,2.0,0.0,P00911,round_trip
ORD,NB,2,2,2,302,120,0,,0,,0,0,0.0,799.3,0.0,0.0,0.0,0.0,0.0,P00907,round_trip
ORD,NB,2,2,2,315,146,0,,0,,0,0,0.45,867.85,0.0,0.0,0.0,5.0,0.0,P00909,round_trip
ORD,NB,2,2,2,577,436,0,,0,,0,0,2.03,1822.09,0.0,0.0,0.0,0.0,29.0,P00903,round_trip
